"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 14, 2017","181.67","181.20","181.93","180.93","-","0.26%"
"Jul 13, 2017","181.20","179.51","181.46","179.51","-","1.05%"
"Jul 12, 2017","179.31","178.24","179.54","178.03","-","0.69%"
"Jul 11, 2017","178.09","175.45","178.15","175.45","-","1.52%"
"Jul 10, 2017","175.42","174.84","175.79","174.77","-","0.40%"
"Jul 07, 2017","174.72","175.54","175.54","174.51","-","-0.46%"
"Jul 06, 2017","175.52","176.30","176.52","175.42","-","-0.45%"
"Jul 05, 2017","176.31","174.86","176.31","173.97","-","0.83%"
"Jul 04, 2017","174.85","177.06","177.11","174.38","-","-1.32%"
"Jul 03, 2017","177.19","176.95","177.40","176.47","-","0.14%"
"Jun 30, 2017","176.95","177.91","177.91","176.40","-","-0.63%"
"Jun 29, 2017","178.08","177.61","178.73","177.48","-","0.29%"
"Jun 28, 2017","177.57","178.64","178.64","177.04","-","-0.65%"
"Jun 27, 2017","178.74","179.34","179.48","178.59","-","-0.34%"
"Jun 26, 2017","179.35","177.72","179.88","177.72","-","0.85%"
"Jun 23, 2017","177.83","177.63","178.07","177.40","-","0.13%"
"Jun 22, 2017","177.60","177.31","178.45","177.31","-","0.22%"
"Jun 21, 2017","177.21","177.04","177.25","175.99","-","0.02%"
"Jun 20, 2017","177.17","177.07","177.95","176.98","-","0.03%"
"Jun 19, 2017","177.12","174.60","177.14","174.60","-","1.48%"
"Jun 16, 2017","174.54","174.17","174.75","174.05","-","0.14%"
"Jun 15, 2017","174.29","175.88","175.96","173.71","-","-0.88%"
"Jun 14, 2017","175.83","176.07","176.61","175.29","-","-0.14%"
"Jun 13, 2017","176.07","175.60","176.68","175.56","-","0.20%"
"Jun 12, 2017","175.71","177.71","177.71","175.15","-","-1.17%"
"Jun 09, 2017","177.79","178.85","179.37","177.33","-","-0.61%"
"Jun 08, 2017","178.89","176.98","179.16","176.97","-","1.01%"
"Jun 07, 2017","177.11","176.58","177.14","176.37","-","0.27%"
"Jun 06, 2017","176.64","176.34","176.77","175.92","-","0.18%"
"Jun 05, 2017","176.33","175.97","176.43","175.77","-","0.24%"
"Jun 02, 2017","175.90","175.13","175.99","175.13","-","0.41%"
"Jun 01, 2017","175.19","173.96","175.19","173.90","-","0.67%"
"May 31, 2017","174.03","174.86","175.29","173.88","-","-0.51%"
"May 30, 2017","174.92","175.01","175.07","174.75","-","-0.06%"
"May 29, 2017","175.02","174.67","175.02","174.43","-","0.21%"
"May 26, 2017","174.66","174.65","175.11","174.25","-","-0.04%"
"May 25, 2017","174.73","173.15","174.73","173.15","-","0.95%"
"May 24, 2017","173.09","172.81","173.22","172.34","-","0.12%"
"May 23, 2017","172.89","173.32","173.86","172.74","-","-0.23%"
"May 22, 2017","173.29","171.81","173.42","171.79","-","1.04%"
"May 19, 2017","171.51","170.61","171.96","170.49","-","0.46%"
"May 18, 2017","170.73","171.38","171.39","169.87","-","-0.44%"
"May 17, 2017","171.49","172.32","172.43","171.39","-","-0.51%"
"May 16, 2017","172.37","171.94","172.44","171.21","-","0.30%"
"May 15, 2017","171.86","170.77","172.05","170.71","-","0.62%"
"May 12, 2017","170.80","170.81","171.02","170.44","-","0.01%"
"May 11, 2017","170.79","170.13","171.12","170.08","-","0.43%"
"May 10, 2017","170.06","169.37","170.57","169.33","-","0.44%"
"May 09, 2017","169.32","167.46","169.32","167.46","-","1.06%"
"May 08, 2017","167.55","166.50","167.55","166.50","-","0.64%"
"May 05, 2017","166.49","167.73","167.73","165.98","-","-0.76%"
"May 04, 2017","167.77","168.57","168.61","167.51","-","-0.50%"
"May 03, 2017","168.61","168.70","168.94","168.41","-","0.01%"
"May 02, 2017","168.60","167.67","168.89","167.67","-","0.52%"
"May 01, 2017","167.73","167.51","167.73","167.51","-","0.11%"
"Apr 28, 2017","167.54","167.84","168.07","167.29","-","-0.21%"
"Apr 27, 2017","167.90","167.65","167.92","166.72","-","0.15%"
"Apr 26, 2017","167.65","167.32","168.08","167.27","-","0.21%"
"Apr 25, 2017","167.30","164.96","167.36","164.96","-","1.44%"
"Apr 24, 2017","164.93","164.47","165.16","163.89","-","0.36%"
"Apr 21, 2017","164.34","163.93","164.78","163.93","-","0.26%"
"Apr 20, 2017","163.91","162.55","164.03","162.47","-","0.81%"
"Apr 19, 2017","162.60","163.38","163.38","162.17","-","-0.48%"
"Apr 18, 2017","163.38","164.87","165.09","163.25","-","-0.84%"
"Apr 17, 2017","164.77","164.76","164.83","164.47","-","0.03%"
"Apr 14, 2017","164.72","164.77","164.78","164.61","-","-0.21%"
"Apr 13, 2017","165.07","165.06","165.71","164.66","-","0.12%"
"Apr 12, 2017","164.88","163.82","165.13","163.37","-","0.63%"
"Apr 11, 2017","163.85","164.94","165.19","163.67","-","-0.63%"
"Apr 10, 2017","164.89","164.69","164.99","164.38","-","0.08%"
"Apr 07, 2017","164.75","164.89","164.93","163.14","-","-0.10%"
"Apr 06, 2017","164.92","165.66","165.66","164.45","-","-0.48%"
"Apr 05, 2017","165.71","163.98","165.90","163.98","-","0.95%"
"Apr 04, 2017","164.15","164.23","164.27","163.89","-","-0.10%"
"Apr 03, 2017","164.32","163.37","164.32","163.37","-","0.60%"
"Mar 31, 2017","163.34","164.38","164.43","163.23","-","-0.66%"
"Mar 30, 2017","164.42","165.25","165.46","164.25","-","-0.50%"
"Mar 29, 2017","165.24","165.11","165.77","164.76","-","0.01%"
"Mar 28, 2017","165.22","164.38","165.33","164.38","-","0.54%"
"Mar 27, 2017","164.34","165.12","165.50","164.11","-","-0.36%"
"Mar 24, 2017","164.94","165.05","165.30","164.48","-","-0.08%"
"Mar 23, 2017","165.07","164.61","165.31","164.37","-","0.26%"
"Mar 22, 2017","164.64","165.87","165.87","163.74","-","-0.84%"
"Mar 21, 2017","166.04","165.82","166.78","165.82","-","0.22%"
"Mar 20, 2017","165.67","164.56","165.94","164.26","-","0.69%"
"Mar 17, 2017","164.53","164.09","164.72","163.99","-","0.32%"
"Mar 16, 2017","164.01","161.30","164.24","161.30","-","1.97%"
"Mar 15, 2017","160.84","160.80","161.39","160.09","-","-0.01%"
"Mar 14, 2017","160.85","160.66","161.30","160.66","-","0.09%"
"Mar 13, 2017","160.71","158.84","160.74","158.84","-","1.20%"
"Mar 10, 2017","158.80","158.49","158.93","158.06","-","0.13%"
"Mar 09, 2017","158.60","160.35","160.35","158.38","-","-1.17%"
"Mar 08, 2017","160.48","159.67","160.54","159.20","-","0.48%"
"Mar 07, 2017","159.71","158.89","159.80","158.89","-","0.54%"
"Mar 06, 2017","158.85","158.61","159.16","158.61","-","0.18%"
"Mar 03, 2017","158.56","159.62","159.62","158.35","-","-0.75%"
"Mar 02, 2017","159.76","160.01","161.57","159.53","-","-0.17%"
"Mar 01, 2017","160.03","159.86","160.35","159.63","-","0.08%"
"Feb 28, 2017","159.90","160.67","160.95","159.89","-","-0.42%"
"Feb 27, 2017","160.58","160.87","161.27","160.37","-","-0.14%"
"Feb 24, 2017","160.80","161.81","161.84","160.69","-","-0.61%"
"Feb 23, 2017","161.79","162.12","162.56","161.70","-","-0.20%"
"Feb 22, 2017","162.12","160.70","162.29","160.70","-","0.93%"
"Feb 21, 2017","160.62","160.62","160.93","160.13","-","-0.02%"
"Feb 20, 2017","160.66","160.10","160.91","160.10","-","0.26%"
"Feb 17, 2017","160.25","160.81","160.94","160.01","-","-0.36%"
"Feb 16, 2017","160.83","160.52","161.12","160.16","-","0.20%"
"Feb 15, 2017","160.51","158.96","160.73","158.93","-","1.00%"
"Feb 14, 2017","158.92","158.95","159.36","158.58","-","0.01%"
"Feb 13, 2017","158.91","157.81","159.08","157.81","-","0.72%"
"Feb 10, 2017","157.78","157.21","158.23","157.21","-","0.31%"
"Feb 09, 2017","157.30","156.68","157.85","156.68","-","0.44%"
"Feb 08, 2017","156.61","155.60","156.77","154.78","-","0.62%"
"Feb 07, 2017","155.65","155.69","155.90","155.16","-","-0.01%"
"Feb 06, 2017","155.66","154.33","155.80","154.33","-","1.02%"
"Feb 03, 2017","154.09","154.00","154.48","153.42","-","0.05%"
"Feb 02, 2017","154.01","154.70","155.27","153.79","-","-0.28%"
"Feb 01, 2017","154.45","154.66","154.77","153.56","-","-0.04%"
"Jan 31, 2017","154.51","154.41","154.88","154.35","-","0.02%"
"Jan 30, 2017","154.48","154.32","154.48","154.09","-","-0.06%"
"Jan 27, 2017","154.58","154.62","154.66","154.28","-","-0.14%"
"Jan 26, 2017","154.80","153.92","155.12","153.90","-","0.62%"
"Jan 25, 2017","153.84","153.30","153.91","153.26","-","0.37%"
"Jan 24, 2017","153.28","152.47","153.45","152.40","-","0.56%"
"Jan 23, 2017","152.42","151.39","152.64","151.39","-","0.68%"
"Jan 20, 2017","151.39","151.93","152.04","151.28","-","-0.38%"
"Jan 19, 2017","151.96","152.09","152.09","151.53","-","-0.20%"
"Jan 18, 2017","152.27","151.56","152.59","151.38","-","0.60%"
"Jan 17, 2017","151.36","150.37","151.66","150.37","-","0.61%"
"Jan 16, 2017","150.44","151.74","151.74","150.18","-","-0.87%"
"Jan 13, 2017","151.76","151.44","151.89","151.11","-","0.28%"
"Jan 12, 2017","151.33","151.60","152.07","151.15","-","-0.03%"
"Jan 11, 2017","151.37","150.66","151.62","150.62","-","0.42%"
"Jan 10, 2017","150.73","149.24","150.91","149.22","-","1.03%"
"Jan 09, 2017","149.19","148.91","149.46","148.72","-","0.13%"
"Jan 06, 2017","149.00","149.04","149.70","148.84","-","0.02%"
"Jan 05, 2017","148.97","146.52","149.14","146.44","-","1.83%"
"Jan 04, 2017","146.30","145.78","146.44","145.64","-","0.23%"
"Jan 03, 2017","145.96","144.83","145.96","144.35","-","0.63%"
"Jan 02, 2017","145.05","145.05","145.05","145.05","-","0.00%"
"Dec 30, 2016","145.05","143.76","145.26","143.76","-","0.90%"
"Dec 29, 2016","143.76","143.57","143.87","142.96","-","0.07%"
"Dec 28, 2016","143.66","142.43","143.88","142.43","-","0.86%"
"Dec 27, 2016","142.43","142.42","142.56","142.22","-","0.01%"
"Dec 26, 2016","142.41","142.37","142.49","142.31","-","0.12%"
"Dec 23, 2016","142.24","142.67","142.68","141.95","-","-0.43%"
"Dec 22, 2016","142.85","144.28","144.33","142.62","-","-0.98%"
"Dec 21, 2016","144.26","144.12","144.74","144.08","-","0.03%"
